,output
17139,0
17140,0
17141,1
17142,1
17143,1
17144,1
17145,1
17146,1
17147,1
17148,0
17149,1
17150,1
17151,1
17152,1
17153,0
17154,1
17155,0
17159,0
17160,1
17161,0
17162,0
17163,1
17164,1
17165,1
17168,1
17169,1
17170,1
17171,0
17172,1
17174,0
17176,2
17177,1
17178,1
17179,0
17180,1
17181,1
17182,1
17183,2
17184,1
17186,1
17187,0
17188,1
17189,0
17190,0
17192,0
17194,1
17195,0
17196,1
17197,1
17198,1
17199,0
17201,0
17203,1
17205,2
17206,1
17207,1
17209,0
17210,1
17211,0
17212,2
17213,1
17214,1
17216,1
17217,0
17218,1
17219,1
17220,0
17221,1
17222,1
17223,0
17224,1
17225,2
17226,1
17228,0
17229,1
17230,0
17231,0
17232,1
17233,0
17235,0
17236,1
17237,0
17238,1
17240,1
17244,1
17245,0
17246,1
17247,0
17248,1
17249,1
17250,1
17252,0
17253,0
17255,0
17256,0
17257,1
17258,0
17259,1
17261,1
17263,1
17264,1
17265,0
17266,1
17268,1
17270,2
17271,0
17272,2
17273,1
17274,0
17275,1
17276,1
17277,1
17279,1
17280,1
17281,1
17282,0
17286,1
17287,1
17288,1
17289,1
17290,0
17292,1
17294,1
17295,1
17296,1
17298,0
17299,0
17300,0
17301,1
17302,0
17304,2
17305,1
17307,1
17308,0
17310,0
17311,1
17312,1
17313,1
17314,1
17315,0
17316,1
17317,1
17321,0
17322,1
17323,1
17324,1
17325,1
17327,1
17328,0
17329,1
17330,0
17331,0
17332,1
17334,1
17336,0
17338,0
17339,0
17340,0
17341,1
17343,1
17344,0
17345,1
17346,0
17347,0
17348,0
17350,1
17351,0
17352,1
17355,0
17356,0
17357,0
17359,1
17361,1
17362,0
17363,1
17366,1
17369,1
17370,1
17371,2
17372,1
17374,0
17375,1
17376,1
17377,0
17379,2
17380,0
17381,1
17382,1
17383,0
17384,0
17385,1
17387,0
17389,0
17390,0
17391,0
17392,1
17393,1
17394,2
17395,1
17396,0
17397,1
17398,0
17399,1
17400,1
17401,1
17403,1
17404,0
17405,1
17406,0
17408,1
17409,1
17413,1
17415,1
17416,1
17418,0
17419,0
17420,0
17421,1
17422,0
17423,1
17424,1
17425,0
17426,2
17427,0
17428,1
17429,1
17430,1
17431,0
17432,1
17433,0
17435,1
17436,0
17437,0
17438,1
17441,1
17443,0
17445,1
17446,0
17447,0
17448,1
17449,1
17450,0
17451,0
17452,1
17453,1
17454,0
17456,0
17457,1
17458,1
17460,0
17461,2
17462,1
17463,0
17464,2
17465,0
17466,1
17468,2
17469,0
17472,1
17473,1
17474,0
17475,2
17476,2
17477,0
17478,0
17479,0
17480,1
17481,1
17482,2
17483,1
17485,1
17486,0
17487,1
17488,1
17490,1
17491,0
17493,2
17494,0
17495,1
17498,1
17499,0
17502,0
17503,0
17504,1
17506,0
17507,1
17508,2
17512,0
17513,1
17514,2
17516,0
17517,1
17519,1
17520,0
17521,1
17522,2
17523,1
17524,1
17525,1
17526,1
17527,1
17528,1
17529,1
17530,0
17531,0
17532,0
17533,1
17534,1
17535,0
17536,2
17537,1
17538,1
17539,2
17540,1
17541,1
17542,0
17543,1
17544,1
17545,1
17546,2
17547,0
17548,0
17550,1
17551,1
17553,1
17554,1
17555,0
17556,1
17557,0
17559,1
17560,1
17562,0
17565,0
17566,0
17567,0
17568,1
17569,1
17570,1
17572,1
17573,1
17574,2
17575,0
17576,0
17577,0
17578,0
17579,0
17583,0
17584,0
17585,2
17586,1
17587,1
17590,0
17591,0
17592,1
17593,0
17594,0
17596,1
17597,1
17600,1
17601,0
17603,0
17604,1
17605,1
17607,1
17608,0
17609,1
17610,1
17611,1
17612,2
17613,0
17614,0
17615,1
17616,2
17617,1
17618,0
17619,1
17621,2
17622,2
17623,1
17624,0
17626,0
17627,2
17629,0
17630,1
17631,2
17633,0
17634,1
17636,0
17637,1
17638,1
17639,1
17640,1
17641,1
17642,1
17643,1
17644,1
17646,1
17647,1
17649,1
17651,0
17652,1
17653,0
17654,0
17656,1
17657,0
17658,2
17659,1
17660,1
17661,1
17662,0
17663,0
17664,1
17665,1
17670,1
17671,0
17672,1
17673,1
17674,1
17675,1
17676,1
17677,2
17678,1
17679,1
17680,0
17681,1
17682,1
17683,0
17684,0
17686,0
17688,1
17689,0
17691,0
17693,1
17695,0
17696,0
17697,1
17698,0
17700,0
17703,1
17704,1
17706,0
17707,1
17709,0
17712,1
17713,0
17715,1
17716,0
17717,0
17719,1
17720,0
17721,1
17722,0
17723,1
17724,1
17725,1
17726,1
17727,1
17728,0
17729,1
17730,1
17731,0
17734,1
17735,0
17736,0
17737,1
17738,1
17739,0
17740,2
17741,0
17742,2
17743,0
17744,0
17746,1
17748,0
17749,0
17750,1
17751,1
17753,0
17755,1
17756,0
17758,1
17759,1
17760,2
17761,1
17762,0
17763,1
17764,0
17767,0
17768,0
17769,1
17770,0
17771,1
17772,1
17773,1
17774,0
17775,1
17776,1
17777,0
17778,0
17779,2
17780,0
17782,0
17783,1
17784,0
17786,1
17788,1
17789,1
17790,1
17792,1
17794,0
17797,0
17798,1
17799,1
17800,0
17801,1
17802,0
17803,1
17804,1
17806,2
17807,0
17808,1
17809,1
17811,1
17812,1
17813,1
17814,1
17815,2
17816,0
17817,1
17818,0
17819,0
17822,0
17823,1
17824,2
17825,0
17826,1
17827,0
17828,1
17829,1
17831,0
17832,1
17833,1
17834,1
17835,0
17836,1
17838,0
17839,1
17840,1
17841,1
17842,1
17843,1
17844,2
17845,1
17847,1
17848,0
17849,1
17850,1
17851,1
17852,1
17853,1
17854,1
17856,1
17857,1
17860,0
17861,1
17863,1
17864,1
17866,0
17869,1
17870,2
17871,1
17872,1
17873,1
17874,1
17876,1
17877,1
17879,2
17880,1
17881,0
17882,1
17883,1
17884,0
17889,0
17891,0
17892,1
17893,1
17894,0
17895,1
17896,1
17897,1
17899,1
17900,1
17901,1
17902,2
17906,0
17907,2
17908,1
17909,1
17911,1
17912,1
17913,0
17914,1
17915,1
17916,1
17918,1
17919,0
17920,0
17923,1
17924,0
17925,1
17927,1
17928,0
17931,0
17932,0
17934,0
17937,0
17938,0
17939,1
17940,1
17941,0
17943,1
17945,0
17946,1
17947,1
17948,0
17949,2
17950,1
17951,1
17952,1
17953,1
17954,1
17955,1
17956,1
17957,1
17958,0
17959,1
17960,0
17962,1
17963,1
17964,1
17966,0
17967,2
17968,2
17969,2
17970,1
17971,1
17972,0
17974,0
17976,1
17977,1
17978,1
17979,0
17981,1
17982,0
17983,1
17984,1
17985,0
17986,2
17988,1
17989,1
17990,0
17991,1
17994,1
17995,0
17996,2
17999,0
18001,0
18002,1
18003,2
18004,0
18005,1
18007,1
18008,1
18009,1
18010,1
18011,0
18012,1
18013,0
18014,1
18018,0
18019,2
18020,1
18021,0
18022,1
18023,1
18024,1
18026,1
18027,1
18028,0
18029,1
18031,0
18032,1
18033,1
18034,0
18035,0
18037,1
18038,1
18039,0
18041,1
18042,1
18043,1
18044,0
18045,0
18046,0
18047,1
18048,0
18049,0
18050,1
18052,0
18053,1
18054,1
18055,0
18056,0
18057,1
18058,1
18059,1
18060,1
18061,1
18062,1
18063,0
18064,1
18065,1
18066,1
18067,0
18068,0
18070,0
18071,1
18072,1
18073,1
18074,1
18075,2
18076,1
18077,1
18078,2
18079,1
18081,0
18082,1
18084,1
18085,2
18086,1
18088,0
18089,1
18090,0
18091,2
18092,1
18093,0
18094,0
18096,0
18097,0
18099,1
18100,2
18101,1
18102,2
18103,2
18105,1
18106,0
18107,0
18108,1
18109,0
18110,1
18111,1
18112,1
18113,0
18114,1
18116,1
18117,1
18118,0
18119,1
18120,2
18122,0
18126,1
18127,1
18128,0
18129,0
18130,1
18132,1
18133,1
18134,0
18135,0
18136,2
18137,1
18138,1
18139,0
18140,0
18141,1
18142,1
18143,1
18144,1
18145,0
18146,0
18147,2
18148,1
18149,1
18150,0
18151,0
18153,1
18154,1
18155,1
18157,1
18159,0
18160,0
18161,1
18162,0
18163,1
18164,0
18165,0
18167,1
18168,2
18169,1
18170,1
18172,1
18173,1
18174,2
18175,1
18176,1
18177,0
18178,1
18179,1
18180,1
18182,0
18183,1
18184,1
18185,1
18188,0
18189,1
18190,1
18191,1
18193,0
18194,1
18195,1
18196,0
18197,0
18198,1
18199,2
18200,0
18201,1
18202,1
18203,1
18204,0
18205,0
18207,0
18208,1
18210,0
18211,0
18212,0
18213,1
18214,0
18216,1
18217,0
18218,1
18219,1
18220,1
18221,1
18222,1
18224,0
18225,2
18230,1
18231,0
18232,1
18233,1
18234,1
18235,1
18236,1
18237,1
18238,2
18243,0
18244,1
18245,0
18247,0
18248,0
18250,1
18251,1
18253,1
18254,2
18255,1
18256,1
18258,0
18259,0
18262,1
18263,1
18264,2
18265,0
18266,0
18268,1
18269,1
18270,0
18271,1
18272,1
18273,1
18274,1
18276,0
18277,1
18278,0
18279,0
18280,0
18281,0
18282,1
18285,1
18286,0
18287,1
18288,1
18289,0
18290,1
18292,1
18293,1
18294,0
18295,0
18296,0
18297,0
18298,0
18300,1
18301,0
18302,1
18303,1
18305,0
18306,1
18307,1
18308,1
18309,0
18311,0
18312,1
18314,1
18315,1
18317,1
18318,2
18319,1
18320,1
18321,1
18322,1
18327,2
18329,0
18330,1
18331,1
18332,0
18333,0
18334,1
18335,1
18337,0
18338,1
18340,1
18341,1
18342,1
18343,0
18344,1
18345,1
18346,1
18348,1
18349,0
18350,0
18352,2
18355,1
18356,0
18357,0
18358,1
18359,0
18360,0
18361,1
18363,0
18364,0
18365,0
18366,1
18367,1
18368,1
18369,1
18370,1
18371,1
18372,0
18373,1
18374,1
18375,1
18376,0
18377,1
18379,1
18380,0
18381,1
18382,1
18383,2
18384,0
18385,0
18386,0
18387,1
18388,0
18389,0
18390,1
18391,0
18392,0
18394,1
18396,2
18397,1
18398,0
18399,0
18400,0
18401,1
18402,1
18403,1
18404,0
18405,0
18406,0
18407,1
18409,0
18410,0
18411,0
18412,0
18413,0
18414,1
18415,1
18416,1
18417,0
18419,1
18420,0
18421,1
18422,1
18423,0
18424,1
18425,1
18426,1
18427,1
18428,1
18429,1
18430,0
18431,1
18432,1
18433,1
18434,2
18435,2
18436,0
18437,1
18438,1
18440,0
18441,0
18442,1
18444,0
18445,1
18446,1
18447,1
18448,0
18449,0
18450,1
18451,1
18452,1
18453,0
18455,0
18456,0
18457,0
18459,0
18460,1
18462,1
18463,1
18464,0
18465,1
18466,2
18467,1
18469,1
18471,1
18472,1
18473,0
18477,1
18478,2
18480,0
18481,1
18482,1
18483,1
18484,1
18486,1
18487,1
18488,1
18490,0
18491,1
18494,1
18496,1
18497,2
18498,1
18499,2
18500,1
18501,1
18503,0
18506,0
18508,1
18509,1
18510,0
18511,0
18512,1
18514,1
18517,0
18518,1
18519,1
18521,1
18523,1
18524,0
18525,2
18526,1
18527,0
18529,0
18530,0
18532,0
18533,1
18534,0
18535,0
18536,1
18538,1
18539,1
18540,0
18541,1
18542,0
18543,1
18544,0
18546,1
18548,1
18549,1
18550,1
18551,1
18552,1
18553,1
18554,0
18555,1
18556,1
18557,1
18558,2
18559,1
18560,0
18561,1
18563,1
18564,1
18565,1
18568,1
18569,1
18570,0
18571,1
18572,1
18574,1
18575,2
18577,0
18578,1
18579,0
18580,2
18581,2
18582,1
18584,0
18585,1
18586,0
18588,1
18589,0
18593,0
18596,1
18598,1
18599,1
18600,1
18601,0
18602,2
18603,1
18605,0
18606,1
18607,0
18608,1
18609,2
18610,1
18611,1
18612,2
18616,0
18618,1
18619,1
18622,1
18623,1
18624,1
18626,0
18628,1
18631,1
18632,0
18633,1
18637,0
18641,0
18642,1
18643,1
18644,0
18645,0
18646,1
18647,1
18648,0
18649,1
18651,1
18652,1
18653,0
18655,0
18656,0
18657,1
18658,1
18660,1
18661,1
18662,0
18663,1
18664,1
18665,2
18666,1
18667,1
18668,0
18669,0
18671,0
18672,1
18674,1
18675,1
18676,0
18677,1
18678,1
18679,1
18681,1
18682,1
18683,1
18685,1
18686,0
18688,0
18689,0
18690,0
18691,1
18692,0
18693,1
18694,1
18695,0
18696,0
18697,0
18698,1
18699,0
18700,0
18701,1
18702,0
18703,0
18704,1
18705,1
18706,1
18708,1
18709,1
18710,1
18711,1
18712,0
18713,1
18714,1
18715,0
18717,1
18718,1
18720,1
18721,1
18722,0
18723,1
18724,0
18725,0
18726,0
18727,1
18728,0
18730,0
18731,0
18732,1
18733,1
18734,0
18735,1
18736,1
18737,1
18738,0
18739,0
18740,1
18741,2
18742,1
18743,1
18744,0
18745,1
18746,1
18748,1
18749,1
18750,1
18752,0
18753,1
18754,0
18755,0
18756,1
18757,0
18758,1
18759,1
18760,0
18761,0
18762,0
18763,1
18765,0
18766,0
18767,1
18768,2
18769,1
18771,0
18772,0
18773,0
18774,1
18777,1
18779,1
18780,1
18783,1
18784,1
18785,1
18786,1
18788,1
18789,0
18790,1
18792,0
18795,0
18797,1
18799,2
18800,0
18801,2
18802,0
18803,1
18804,1
18805,1
18806,0
18807,1
18808,0
18809,0
18810,0
18811,0
18812,2
18813,1
18814,1
18815,0
18816,1
18817,1
18818,2
18819,0
18820,1
18821,1
18822,0
18825,1
18826,0
18827,1
18828,0
18830,1
18831,1
18832,0
18833,0
18834,1
18835,0
18836,0
18837,2
18838,0
18840,1
18842,1
18845,1
18846,1
18847,1
18848,1
18849,0
18850,0
18851,0
18852,0
18854,1
18855,0
18856,0
18857,0
18858,0
18860,1
18861,0
18862,0
18864,1
18865,1
18867,1
18869,1
18871,1
18872,1
18873,1
18874,0
18875,0
18878,1
18879,1
18880,2
18881,0
18883,1
18884,1
18885,1
18886,1
18887,0
18889,1
18890,0
18891,1
18892,0
18893,1
18895,1
18896,1
18898,2
18899,1
18900,1
18902,0
18903,0
18904,1
18905,0
18907,0
18910,1
18911,1
18912,1
18913,0
18915,0
18916,1
18917,1
18918,1
18919,0
18920,0
18921,0
18922,0
18924,0
18925,1
18926,0
18927,1
18928,1
18929,0
18930,1
18931,0
18932,1
18933,1
18934,1
18936,0
18937,1
18938,1
18939,2
18940,0
18941,0
18942,0
18943,1
18945,0
18948,0
18949,0
18950,1
18951,0
18952,2
18953,0
18954,0
18955,1
18956,1
18957,1
18960,1
18961,1
18962,0
18963,1
18965,1
18966,1
18968,0
18969,1
18971,2
18972,1
18973,1
18974,0
18976,1
18977,1
18980,0
18981,0
18982,1
18983,0
18984,1
18986,0
18988,1
18989,0
18990,1
18991,1
18993,2
18995,0
18996,0
18997,1
18998,1
19001,1
19002,1
19003,0
19004,0
19005,1
19006,0
19007,0
19008,2
19009,0
19010,1
19011,0
19013,1
19014,2
19015,0
19016,1
19019,1
19020,1
19021,0
19022,0
19023,1
19025,0
19026,1
19027,0
19028,1
19029,0
19030,0
19031,1
19032,1
19033,0
19035,0
19036,1
19037,0
19038,1
19039,1
19040,0
19041,1
19042,0
19043,1
19044,1
19045,0
19046,0
19047,1
19048,0
19051,0
19052,0
19054,1
19056,1
19057,1
19059,1
19060,0
19062,1
19063,1
19064,1
19066,1
19067,0
19068,0
19069,0
19070,0
19071,0
19072,0
19073,1
19074,0
19075,2
19076,1
19079,1
19080,1
19082,1
19083,1
19084,2
19085,0
19086,1
19087,0
19089,1
19091,1
19092,1
19093,0
19094,0
19095,0
19098,1
19099,1
19100,1
19101,0
19103,0
19104,2
19105,1
19106,1
19107,0
19108,0
19113,0
19115,1
19116,0
19117,1
19118,1
19119,1
19121,1
19122,0
19123,0
19124,1
19126,1
19127,1
19129,1
19131,1
19132,2
19133,2
19134,1
19135,0
19136,1
19137,1
19138,1
19139,2
19140,0
19141,0
19142,1
19143,0
19144,1
19145,1
19147,1
19148,2
19151,0
19154,0
19155,0
19156,2
19157,1
19158,1
19159,1
19160,1
19161,1
19162,1
19164,1
19165,0
19167,0
19168,0
19170,0
19171,1
19172,1
19174,0
19176,1
19177,1
19178,0
19184,1
19185,1
19186,1
19188,0
19189,0
19190,1
19191,0
19192,0
19194,1
19195,0
19196,1
19198,0
19199,2
19200,0
19201,0
19202,0
19203,1
19205,1
19206,0
19207,2
19208,1
19209,0
19211,1
19212,0
19213,1
19215,1
19216,0
19217,0
19218,1
19219,0
19221,0
19222,0
19223,2
19224,1
19225,1
19226,1
19227,1
19228,0
19229,0
19230,0
19231,0
19232,1
19233,0
19234,0
19235,0
19236,0
19237,0
19238,1
19239,1
19241,0
19242,1
19243,0
19244,1
19245,1
19246,1
19247,1
19248,1
19249,0
19250,1
19253,0
19254,0
19256,1
19258,0
19259,0
19260,0
19261,1
19262,2
19263,0
19264,1
19265,1
19266,1
19267,1
19268,0
19269,0
19270,1
19271,0
19272,1
19274,0
19275,1
19276,1
19280,1
19281,1
19282,0
19283,1
19284,0
19287,0
19288,1
19289,1
19291,2
19293,0
19295,1
19296,1
19297,1
19298,1
19299,1
19303,0
19304,1
19305,1
19306,0
19307,1
19308,0
19309,1
19310,1
19311,2
19312,1
19313,1
19314,1
19316,0
19317,1
19319,0
19320,0
19321,1
19322,1
19323,0
19324,0
19325,0
19327,0
19328,2
19329,0
19330,0
19331,0
19332,0
19333,1
19334,1
19336,0
19338,1
19339,1
19340,1
19341,1
19342,0
19343,1
19344,1
19345,1
19346,1
19348,1
19351,1
19352,1
19353,1
19354,1
19355,0
19356,0
19357,0
19358,0
19359,1
19360,1
19362,1
19363,1
19364,0
19366,1
19368,1
19369,1
19370,1
19371,1
19373,1
19374,1
19376,1
19377,1
19379,0
19381,0
19382,2
19383,0
19384,1
19385,1
19387,0
19388,1
19389,2
19390,1
19392,2
19393,1
19394,1
19395,1
19396,1
19397,1
19398,1
19399,0
19400,1
19401,1
19402,0
19403,1
19404,1
19405,0
19406,1
19407,2
19408,0
19410,0
19411,1
19413,0
19414,1
19415,0
19416,1
19418,2
19419,0
19420,1
19421,0
19422,2
19423,1
19424,0
19427,0
19428,0
19429,0
19430,1
19432,0
19433,0
19435,1
19437,1
19438,0
19439,1
19441,0
19443,1
19445,0
19446,0
19448,0
19449,1
19450,1
19451,1
19453,0
19454,0
19455,1
19456,2
19457,1
19459,1
19460,1
19461,0
19462,0
19463,0
19465,0
19466,1
19467,1
19468,0
19469,1
19470,1
19471,1
19472,2
19473,0
19474,1
19475,1
19477,1
19478,1
19479,1
19480,0
19481,0
19482,1
19483,1
19484,0
19485,0
19487,1
19488,0
19491,0
19492,1
19493,1
19494,1
19495,0
19496,0
19497,1
19498,0
19499,0
19500,1
19501,0
19503,1
19504,0
19505,0
19506,1
19507,1
19508,1
19509,0
19510,1
19511,1
19514,0
19515,1
19519,0
19520,0
19521,1
19522,1
19523,0
19525,0
19526,1
19527,0
19528,0
19529,1
19531,1
19532,1
19533,0
19534,0
19536,1
19537,0
19538,1
19539,0
19541,1
19542,1
19544,1
19545,1
19546,1
19548,1
19549,1
19551,1
19552,0
19553,0
19554,0
19555,0
19556,1
19557,0
19558,0
19559,1
19560,1
19561,0
19562,0
19563,1
19564,1
19565,1
19566,0
19567,0
19568,0
19569,1
19570,0
19571,1
19572,2
19573,0
19574,1
19576,1
19577,1
19578,1
19579,0
19580,1
19582,1
19585,1
19586,1
19588,1
19589,2
19590,2
19591,0
19592,1
19593,0
19594,1
19595,1
19596,2
19598,0
19599,1
19600,2
19601,0
19602,0
19603,1
19607,1
19608,2
19609,1
19610,0
19611,0
19613,0
19615,0
19616,0
19617,0
19618,2
19620,0
19621,1
19625,1
19626,1
19628,1
19630,0
19631,0
19632,0
19633,2
19635,0
19636,0
19637,0
19638,1
19639,0
19642,0
19643,1
19644,1
19645,1
19646,2
19647,0
19649,1
19650,1
19651,1
19652,1
19653,1
19654,1
19656,1
19657,1
19658,1
19660,1
19661,2
19662,0
19663,0
19664,1
19665,1
19667,0
19668,1
19671,1
19672,1
19674,1
19675,0
19676,1
19677,1
19678,1
19679,0
19680,0
19681,1
19682,1
19683,1
19684,1
19685,1
19687,1
19690,1
19691,1
19692,0
19693,0
19694,1
19695,1
19696,0
19697,1
19698,1
19699,0
19700,1
19701,1
19702,1
19706,1
19707,1
19711,1
19712,1
19716,0
19717,0
19718,0
19719,0
19720,0
19722,1
19723,1
19724,1
19726,2
19729,2
19730,1
19731,0
19733,1
19734,2
19735,1
19736,0
19740,1
19741,0
19742,1
19743,2
19745,1
19746,1
19747,2
19748,1
19749,0
19752,0
19753,1
19754,1
19755,1
19756,0
19757,0
19758,1
19759,1
19761,1
19762,0
19763,0
19764,0
19767,0
19768,1
19769,1
19770,1
19771,1
19773,0
19774,1
19775,1
19776,1
19777,1
19779,1
19780,1
19781,1
19782,1
19783,1
19784,0
19786,0
19787,1
19788,0
19789,1
19793,1
19795,0
19799,0
19800,0
19802,2
19803,1
19806,1
19807,1
19808,1
19809,1
19810,1
19811,1
19812,1
19813,1
19814,0
19816,0
19818,2
19819,1
19820,1
19821,0
19822,1
19823,0
19824,1
19825,0
19826,1
19828,0
19831,2
19832,2
19833,1
19836,1
19837,2
19838,1
19839,1
19842,2
19843,1
19844,1
19845,0
19846,1
19847,0
19848,0
19849,0
19850,0
19851,1
19853,0
19854,0
19857,1
19859,1
19860,0
19861,0
19862,0
19863,0
19864,1
19865,1
19866,1
19867,1
19868,0
19869,1
19870,1
19871,1
19872,1
19874,0
19875,1
19876,2
19877,0
19879,0
19880,1
19881,0
19882,1
19886,1
19887,1
19888,1
19889,0
19890,0
19891,1
19893,1
19894,1
19896,1
19899,2
19900,1
19901,1
19902,1
19903,0
19904,0
19905,0
19906,0
19907,1
19908,1
19909,0
19911,1
19913,1
19914,1
19915,1
19916,0
19917,0
19918,0
19920,1
19922,1
19923,0
19925,2
19926,0
19927,2
19928,1
19929,0
19930,1
19931,1
19933,1
19934,1
19935,0
19936,0
19937,2
19940,1
19942,0
19943,0
19945,0
19946,1
19948,1
19949,0
19950,0
19951,1
19952,0
19953,0
19954,0
19955,1
19957,2
19958,1
19959,2
19960,1
19961,0
19964,1
19965,1
19966,1
19967,0
19968,1
19969,1
19970,1
19971,1
19973,0
19974,1
19977,1
19979,0
19981,2
19982,1
19983,1
19984,0
19985,0
19986,1
19987,1
19988,1
19989,1
19990,0
19991,0
19992,0
19994,1
19995,1
19996,1
19998,1
19999,1
20000,1
20001,0
20002,1
20003,1
20005,1
20007,0
20008,0
20010,0
20012,0
20014,0
20016,0
20017,2
20018,0
20019,0
20020,2
20022,0
20023,1
20024,1
20025,1
20026,1
20028,0
20030,2
20031,0
20032,1
20035,2
20036,1
20037,1
20039,1
20041,0
20042,1
20043,0
20045,1
20046,1
20047,2
20048,1
20049,1
20050,1
20051,1
20052,0
20054,1
20055,0
20056,2
20057,0
20058,1
20059,1
20060,1
20061,1
20062,1
20063,2
20064,0
20065,0
20066,0
20067,1
20068,1
20069,1
20070,1
20072,1
20074,1
20075,0
20077,0
20078,1
20079,1
20080,1
20081,1
20082,0
20083,1
20084,1
20086,0
20089,0
20090,0
20091,1
20092,0
20093,0
20094,1
20095,1
20096,1
20097,1
20098,1
20101,0
20102,2
20103,2
20104,0
20106,0
20107,1
20108,0
20109,2
20110,1
20111,0
20113,0
20114,0
20115,1
20117,1
20118,1
20119,0
20120,0
20121,1
20122,0
20123,0
20124,1
20125,1
20126,1
20128,1
20129,0
20130,1
20132,0
20133,0
20134,0
20136,0
20137,1
20138,0
20139,1
20140,2
20141,1
20142,1
20143,0
20144,1
20146,1
20147,1
20148,0
20150,0
20151,0
20152,0
20153,0
20155,0
20156,2
20157,0
20158,2
20160,0
20161,1
20162,0
20164,0
20166,1
20167,0
20168,0
20169,0
20170,1
20171,1
20172,1
20173,0
20174,1
20175,1
20176,1
20177,0
20178,0
20179,1
20181,0
20183,1
20184,1
20185,1
20187,1
20188,0
20189,0
20190,0
20193,0
20194,1
20196,1
20198,0
20199,2
20203,0
20204,0
20205,0
20206,1
20207,2
20208,1
20209,0
20211,1
20214,0
20215,0
20216,1
20217,1
20218,0
20220,1
20221,1
20222,1
20223,1
20224,1
20225,1
20226,0
20227,1
20228,1
20229,0
20230,1
20231,0
20232,0
20233,1
20234,0
20235,1
20236,1
20237,0
20238,0
20239,0
20240,1
20241,0
20242,1
20244,1
20245,1
20246,1
20247,2
20248,2
20249,0
20250,0
20251,1
20252,1
20253,1
20254,1
20256,1
20257,1
20259,0
20260,0
20261,0
20262,0
20263,1
20264,1
20265,1
20266,1
20267,1
20269,0
20270,1
20271,2
20272,1
20273,2
20275,0
20276,0
20277,2
20278,0
20279,1
20281,1
20282,1
20283,0
20286,1
20287,1
20288,1
20289,1
20290,1
20292,1
20293,0
20296,0
20297,0
20298,1
20299,1
20300,0
20301,2
20302,1
20303,1
20304,1
20305,1
20306,1
20307,1
20308,1
20309,0
20311,1
20312,2
20313,0
20314,0
20315,0
20316,0
20317,2
20318,0
20319,1
20320,1
20322,1
20323,1
20324,0
20325,0
20326,0
20327,1
20328,1
20330,1
20331,0
20332,0
20334,1
20335,2
20337,1
20338,1
20341,0
20342,1
20343,1
20344,1
20345,1
20346,0
20347,1
20349,1
20350,2
20351,1
20352,1
20353,1
20354,0
20355,1
20356,0
20357,1
20358,0
20359,0
20360,0
20361,2
20363,0
20364,2
20365,0
20368,1
20369,1
20370,1
20371,1
20373,0
20375,1
20376,1
20377,1
20379,0
20380,1
20381,0
20382,0
20383,2
20384,0
20385,0
20386,1
20388,0
20389,1
20390,1
20391,0
20392,1
20393,2
20394,0
20395,1
20397,1
20398,0
20399,1
20400,1
20401,1
20402,0
20404,2
20405,1
20406,1
20407,1
20409,0
20410,0
20411,1
20412,0
20414,1
20416,1
20417,1
20418,0
20419,1
20421,1
20422,2
20423,0
20424,1
20425,1
20427,1
20429,0
20430,1
20431,1
20432,1
20434,1
20435,1
20436,1
20437,1
20439,0
20440,1
20444,1
20445,2
20446,1
20447,1
20448,0
20449,0
20451,0
20452,1
20453,0
20455,0
20458,0
20459,0
20460,1
20462,2
20465,1
20466,1
20467,0
20468,1
20469,1
20470,0
20472,1
20473,1
20474,1
20475,1
20476,1
20477,2
20479,1
20480,1
20481,1
20483,2
20484,0
20485,1
20486,0
20490,1
20491,2
20492,0
20493,1
20494,0
20495,0
20496,0
20497,0
20498,0
20500,0
20501,1
20502,0
20504,1
20505,0
20506,0
20507,1
20508,1
20509,0
20510,0
20511,0
20512,0
20513,1
20514,0
20515,1
20516,1
20517,1
20518,1
20519,2
20520,1
20521,1
20523,0
20524,0
20526,1
20528,1
20529,0
20530,0
20531,0
20533,0
20534,0
20535,2
20536,1
20537,1
20540,0
20542,1
20543,0
20544,1
20545,1
20546,0
20547,1
20548,0
20549,1
20550,1
20551,0
20552,0
20553,0
20555,0
20557,1
20559,0
20560,1
20562,1
20563,0
20564,0
20565,2
20566,0
20567,1
20569,1
20570,0
20571,1
20572,2
20573,1
20574,0
20575,0
20576,1
20577,1
20578,0
20579,0
20580,1
20583,1
20584,0
20585,0
20586,1
20587,1
20588,1
20589,0
20591,1
20592,2
20593,0
20596,1
20597,0
20600,1
20601,1
20602,1
20603,0
20605,1
20606,1
20607,2
20608,1
20609,1
20610,1
20614,0
20615,1
20616,0
20617,1
20618,0
20619,0
20620,0
20621,1
20622,1
20623,1
20624,1
20625,1
20626,1
20627,1
20628,1
20631,1
20632,2
20634,2
20635,1
20637,0
20638,0
20639,1
20640,1
20641,1
20642,1
20643,1
20644,0
20646,1
20649,0
20650,0
20652,1
20653,1
20654,1
20655,0
20656,1
20657,1
20659,2
20660,0
20661,1
20662,0
20663,1
20665,1
20666,1
20667,0
20668,0
20669,2
20670,0
20672,1
20673,1
20674,1
20675,1
20676,1
20677,1
20679,1
20680,0
20681,0
20682,0
20683,2
20685,1
20686,1
20687,1
20689,0
20690,1
20691,0
20693,2
20694,1
20695,1
20696,0
20697,1
20698,1
20699,0
20701,0
20702,1
20703,1
20704,1
20705,0
20706,1
20707,0
